title,# pages,year of publication,author,publisher,year of birth,year of death,nationality,sex,language,
una città o l'altra,346,1991,bill bryson,tea,1951,/,USA,m,italiano,
un fisico in salotto,259,2011,guido corbò,tea,,/,ITALY,m,italiano,
il potere dei druidi ,458,1990,morgan llywelyn,tea,1937,/,IRELAND-USA,f,italiano,
la mano sinistra di dio,441,2010,paul hoffman,tea,1953,/,ENGLAND,m,italiano,
le quattro cose ultime,398,2011,paul hoffman,tea,1953,/,ENGLAND,m,italiano,
i colori di morrow,141,1972,a. bertram chandler,urania (mondadori),1912,1984,ENGLAND - AUSTRALIA,m,italiano,urania 637
crociera nell'infinito,224,1950,a.e. van vogt,urania (mondadori),1912,2000,CANADA,m,italiano,classici urania 22
l'uomo disintegrato,224,1953,alfred bester,urania (mondadori),1913,1987,USA,m,italiano,classici urania 34
le rive di un altro mare,148,1971,chad oliver,urania (mondadori),1928,1993,USA,m,italiano,urania 599
le spirali del tempo,192,1957,chad oliver,urania (mondadori),1928,1993,USA,m,italiano,classici urania 29
il pianeta dei superstiti,141,1974,damon knight,urania (mondadori),1922,2002,USA,m,italiano,urania 641
il gradino di venere,144,1970,david grinnell,urania (mondadori),1914,1990,USA,m,italiano,urania 588
mille e una terra,178,1971,david mason,urania (mondadori),1924,1974,USA,m,italiano,urania 607
i giganti di pietra,158,1948,donald wandrei,urania (mondadori),1908,1987,USA,m,italiano,classici urania 14
la macchina televettrice,164,1971,edward d. hoch,urania (mondadori),1930,2008,USA,m,italiano,urania 652
un pianeta impossibile,128,1960,frank crisp,urania (mondadori),1915,1996,ENGLAND,m,italiano,urania 252
il trono dei berserker,191,1985,fred saberhagen,urania (mondadori),1930,2007,USA,m,italiano,urania 1201
alpha aleph,134,1972,frederi k pohl,urania (mondadori),1919,2013,USA,m,italiano,urania 663
stella doppia 61 cygni,154,1953,hal clement,urania (mondadori),1992,2003,USA,m,italiano,classici urania 129
Antologia del bicentenario n. 2,145,1951,isaac asimov,urania (mondadori),1920,1992,RUSSIA-USA,m,italiano,urania 738
il meglio di asimov vol.1,238,1975,isaac asimov,urania (mondadori),1920,1992,RUSSIA-USA,m,italiano,oscar 1088
il meglio di asimov vol.2 ,205,1975,isaac asimov,urania (mondadori),1920,1992,RUSSIA-USA,m,italiano,oscar 1088
"lucky starr, il vagabondo dello spazio",147,1952,isaac asimov,urania (mondadori),1920,1992,RUSSIA-USA,m,italiano,oscar 2006
l'osservatorio ,130,1974,james sutherland,urania (mondadori),1900,1996,SCOTLAND,m,italiano,urania 667
alpha tauri: missione n. 92,162,1970,jeff sutton,urania (mondadori),1913,1979,USA,m,italiano,urania 573
mnemoblocco di stato,170,1972,jeff sutton,urania (mondadori),1913,1979,USA,m,italiano,urania 616
secolo xxii,170,1970,jeff sutton,urania (mondadori),1913,1979,USA,m,italiano,urania 930
super-h sull'america,150,1967,jeff sutton,urania (mondadori),1913,1979,USA,m,italiano,urania 489
abominazione atlantica ,130,1960,john brunner,urania (mondadori),1934,1995,ENGLAND,m,italiano,urania 564
grazie di tutto,136,1965,john brunner,urania (mondadori),1934,1995,ENGLAND,m,italiano,urania 577
una ruga sulla terra,174,1965,john christopher,urania (mondadori),1922,2012,ENGLAND,m,italiano,urania 463
l'ultima esplosione,128,1960,john e. muller,urania (mondadori),1935,/,ENGLAND,m,italiano,urania 254
"astronave ""redshft""",184,1990,john e. stith,urania (mondadori),1947,/,USA,m,italiano,urania 1122
primo agente galattico,139,1973,john t. phillifent,urania (mondadori),1916,1976,ENGLAND,m,italiano,urania 661
avventura nell'iperspazio,176,1954,john w. campbell jr.,urania (mondadori),1910,1971,USA,m,italiano,urania 370
le gabbie dell'infinito,128,1965,kenneth bulmer,urania (mondadori),1921,2005,ENGLAND,m,italiano,urania 478
l'abitatore,138,1974,kenneth f. gantz,urania (mondadori),1905,1996,USA,m,italiano,urania 654
dynostar,166,1975,kit pedler - gerry davis,urania (mondadori),1927 - 1930,1981 - 1991,ENGLAND,m,italiano,urania 684
l'effetto dinosauro,176,1974,kit pedler - gerry davis,urania (mondadori),1927 - 1930,1981 - 1991,ENGLAND,m,italiano,urania 650
cybernia,160,1972,lou cameron,urania (mondadori),1924,2010,USA,m,italiano,urania 611
killer sull'asteroide,168,1967,louis charbonneau,urania (mondadori),1924,2017,USA,m,italiano,urania 486
fantalmanacco,196,1964,mack reynolds - keith laumer,urania (mondadori),1917 - 1925,1983 - 1993,USA,m,italiano,urania 477
i danzatori di noyo,164,1973,margaret st. clair,urania (mondadori),1911,1995,USA,f,italiano,urania 678
gli infiniti ritorni,127,1961,marren bagels,urania (mondadori),1946,/,ITALY,m,italiano,urania 272
la ragione dei granchi,143,1973,micheal elder,urania (mondadori),1931,2004,SCOTLAND,m,italiano,urania 636
i greks portano doni,128,1964,murray leinster,urania (mondadori),1896,1975,USA ,m,italiano,urania 695
progetto quatermass,188,1960,nigel kneale,urania (mondadori),1922,2006,ENGLAND,m,italiano,classici urania 4
l'incubo dei syn,144,1969,raymond f. jones,urania (mondadori),1915,1994,USA,m,italiano,urania 548
i mondi di eklos,143,1959,rex gordon,urania (mondadori),1917,1998,ENGLAND,m,italiano,urania 746
regola per sopravvivere,205,1952,richard mateson,urania (mondadori),1926,2013,USA,m,italiano,
universo,170,1965,robert heinlein,urania (mondadori),1907,1988,USA,m,italiano,classici urania 1
follia planetaria,138,1967,roger dee,urania (mondadori),1914,2004,USA,m,italiano,urania 459
arca seconda,156,1970,roger dixon,urania (mondadori),1930,1983,ENGLAND,m,italiano,urania 723
prove di maturità,133,1974,roger elwood,urania (mondadori),1943,2007,USA,m,italiano,urania 670
antologia scolastica n. 3,137,1971,VV.AA.,urania (mondadori),/,/,/,/,italiano,urania 593
buone notizie dal vaticano,164,1971,VV.AA.,urania (mondadori),/,/,/,m,italiano,urania 623
le strade dell'invasione,164,1951,VV.AA.,urania (mondadori),/,/,/,/,italiano,urania 472
pistolero fuori tempo,138,1974,VV.AA.,urania (mondadori),/,/,/,/,italiano,urania 676
il mondo di logan,155,1977,william f. nolan,urania (mondadori),1928,2021,USA,m,italiano,oscar 941
sam space. spazio-investigatore,168,1971,william f. nolan,urania (mondadori),1928,2021,USA,m,italiano,urania 617
segnali da giove,156,1980,zach hughes,urania (mondadori),1928,2016,USA,m,italiano,urania 923
the book of nothing,384,2002,john d. barrow ,Vintage Books,1952,2020,ENGLAND,m,english,
trent'anni che sconvolsero la fisica,205,1966,george gamow,zanichelli,1904,1968,RUSSIA-USA,m,italiano,
parlo svedese,216,1973,VV.AA.,antonio vallardi editore,/,/,/,/,italiano,
teorie cosmologiche rivali,78,1960,VV.AA.,einaudi,/,/,/,/,italiano,
storia e filosofia,338,1969,paolo rossi,einaudi,1923,2012,ITALY,m,italiano,
il progresso nel mondo antico,312,1963,v. gordon childe,einaudi,1892,1957,AUSTRALIA,m,italiano,
manuale di preistoria,461,1958,raymond furon,einaudi,1898,1986,FRANCE,m,italiano,
storia dell'uomo,435,1954,carleton s. coon,garzanti,1904,1981,USA,m,italiano,
la rivoluzione francese - volume secondo,511,1960,albert mathiez - georges lefebvre,einaudi,"1874, 1874","1932, 1959",FRANCE,m,italiano,
la città ,480,1957,william faulkner,mondadori,1897,1962,USA,m,italiano,
le origini dell'epica geca,469,1960,gillbert murray,sansoni,1866,1957,AUSTRALIA,m,italiano,
baudolino,526,2000,umberto eco,bompiani,1932,2016,ITALY,m,italiano,
notre dame de paris,595,1831,victor hugo,la biblioteca di repubblica,1802,1885,FRANCE,m,italiano,
il suono del mondo ,122,1991,giampiero comolli ,theoria,1950,/,ITALY,m,italiano,
sociologia della religione - l'antico giudaismo,412,1920,max weber ,newton compton,1864,1920,GERMANY,m,italiano,
il materialismo dialettico ,125,1947,henri lefebvre,einaudi,1901,1991,FRANCE,m,italiano,
il pianeta doppio,153,1960,isaac asimov,sonzogno,1920,1992,RUSSIA-USA,m,italiano,
